,text,date_published
0,4 03 noooo lucas jungwoo would chingus haechan hadnt cblocked im pissed,2021-03-09
1,winwin got first row seat chaos neomu jealous,2021-03-08
2,begging luwoo unit 2021,2021-03-07
3,talking luwoo couple 6 47 caught attention mark holding jungwoo hand front lucas,2021-03-07
5,markhyuk gay taeil jungwoo damage control lucas really get whats going ill act like,2021-03-05
6,simple see mark jungwoo video mark feel jungwoo hyung mark jungwoo mark adorable jungwoo like dongseng became friends thinks example mark always pinch jungwoo cheeks,2021-03-02
7,look mork 6 11,2021-03-01
9,2 42 huge discussion,2021-02-24
12,technically jungwoo even older born feb would actually 1997 1998 turned 23 2021 2 22 cause new year start til end march beginning april,2021-02-23
14,lucas vibing fr,2021-02-20
16,lucas energy jeno know today,2021-02-19
17,episode confusing maths class,2021-02-19
18,7 minutes haechan tried destroy hyung wall mark jungwoo example lucus supportive example taeil supporting partner,2021-02-19
19,error 404 yo brain doesnt get ahaha simply gives error ahaha,2021-02-17
20,taeil enjoying chaos,2021-02-17
21,jungwoo lucas,2021-02-17
22,frustrating episode sun moon think hard since good thinking hard,2021-02-17
23,gosh mark sound like 3 polygamy relationship 1 47,2021-02-14
24,seen jungwoo lucas together long time,2021-02-13
28,tbh even understood arguement watching like dumb also would say video funny cute cuz job,2021-02-09
34,haechan sounds jealous everytime mark chose jungwoo every aspect,2021-02-07
35,decision mark jungwoo made romantic,2021-02-07
37,still come back video time time,2021-02-06
38,lmao feel like interview ends good lucas jungwoo mark haechan haechan explain everthing logic encounter many way logic mark love measured honorary names really counts,2021-02-06
39,maybe foreigners follow strict age addresses mean dropping respect means bonds close enough things need heard,2021-02-06
40,haechan spends first half video explaining chaos would happen follow age rules gets mark admit decided break rules based heart asks mark mark heart haechan 3 07 plot twist century,2021-02-06
41,lumarkwoo vlive nct 2020 ends without feeling sad,2021-02-05
42,definitely favourite episode sun moon,2021-02-05
45,jokboz need content lmao,2021-02-04
46,mark cool part 3 22,2021-02-03
47,keeping saying need protect lucas precious,2021-02-02
48,rewatched start think close jungwoo bday winwin winwin jaehyun lol winwin jungwoo could age friend,2021-02-02
49,6 52 u see mark look haechan face like angry,2021-01-31
50,content suggestion donghyuk call mark minhyung ah day,2021-01-30
51,episode literally talking haechan wanted stop calling mark hyung ㅋㅋㅋ,2021-01-27
53,lol video exactly mark let haechan drop hyung,2021-01-27
54,watching lucas birthday happy 23rf birthday lucassss,2021-01-26
55,2 01 lucas jungwoo world,2021-01-25
57,lucas birthday happy birthday lucaseu,2021-01-25
60,boy really added lucas make mood lighter huh,2021-01-22
61,like editor caption kim jungwoo says correct things,2021-01-22
65,actually sensitive topic u sense tension midway many cuts may seem funny entertaining watch talk may cause drifts distance towards certain members long explanation read ur close minded ages strict topic korea older year jw case decides friends younger mk shows level comfortability closeness two evidently willing set aside ages friendship certain member seems sensitive saying hyuck may feel threatened mark closer someone else 8 years closest friend one blame really happens friendships mark probably felt really sad jungwoo 98 liner wanted make feel alone guess mark think much time could hurt hyuckie pretty sure still chill friends yeah certain incidents like happen real life know know personally audience happens anyone observed scripted happened,2021-01-19
66,3 13 thought soulmates funny haechan looks truly upset mark treating people without formalities mark boy really jealous like hahahhaha,2021-01-18
72,never seen talk show absurd complaining,2021-01-15
73,3 14 hc thought soulmates mk gay choking,2021-01-14
75,hyuck try drop honorifics mark lmao,2021-01-13
77,love haechan,2021-01-10
80,matter much hyuck teases mark expects mark take friendship seriously think haechan serious anyone else except mark even though affectionate member shows affection lot looked upset answer question mark soulmate also way want mark call jungwoo without honorifics instead wanted mark choose someone dream aka kept giving reasons mark jungwoo age friends problem lucas jungwoo age friends,2021-01-06
85,head hurt dont know,2020-12-31
86,lucas actin mad zooted happy love much neomu happy,2020-12-30
87,ill 98 friend jungwoo even irls im lonely year,2020-12-30
89,understand single thing talking haechan iconic line thought soulmates,2020-12-28
90,way mark keep looking haechan end video 6 51 looks like mark feels bad guilty towards haechan ngl haehan seems desperate sad really cheerful episode bring age stuff,2020-12-27
91,lucas zooted lmaooo,2020-12-27
92,chaos,2020-12-26
95,wtf arguing abt age lol,2020-12-25
100,afteall everyone motto age number age issue,2020-12-20
101,sometimes hear mark call jungwoo hyung video,2020-12-20
105,haechan mark mine one take,2020-12-17
106,finally seeing luwoo,2020-12-15
108,like discuss age nothing else video,2020-12-14
109,lucas older mark calls jungwoo hyung though mark younger use hyung refer jungwoo complicated,2020-12-14
110,nct family,2020-12-14
112,coming back luwoo crumbs cuz still accept ship sinking,2020-12-13
114,mark lucas really cute together lumark precious,2020-12-09
117,jungwoo lucas simp 100000,2020-12-07
119,wtf,2020-12-05
121,sky pong pong let get taeil 2020,2020-12-04
122,annoying hosts ever seen k variety universe,2020-12-04
126,0 38 thats,2020-11-30
129,love winwin enjoying show hahahah 3 0 45,2020-11-30
131,0 23 someone tell nct member sitting comfortably chair back clearly distinguish face coz dark side,2020-11-29
135,almost argument lmaoooo,2020-11-27
136,th0ught soulmates,2020-11-27
137,someone guarding bf,2020-11-27
138,love seeing jungwoo lucas mark together iconic,2020-11-26
141,audiences loving intro performance doyoung oh instagram,2020-11-26
142,haechan forever bitter,2020-11-26
143,one laughing moon taeil background,2020-11-25
144,wait eps seems complicated,2020-11-24
146,biased jungwoo n taeil chaotic episode loike,2020-11-23
147,7 minutes haechan trying convince everyone mark soulmates,2020-11-22
148,3 00 totally agree mark,2020-11-21
150,1 03 jungwoo kinda sounds like taemin hahaha,2020-11-20
152,stop looking luwoo,2020-11-19
153,luwoo moment,2020-11-19
154,mark canadian self age heart haechan friends thought soulmates jungwoo family let rational taeil chanting fight fight fight lucas even know going good long jungwoo buys food,2020-11-18
155,6 12 umm mark reaction though,2020-11-16
157,love idea staff carrying fake grass segment genius idea,2020-11-15
159,yall please vote nct mama always open give deserve,2020-11-15
160,video full confusion,2020-11-14
161,love hc called mark korean name cute,2020-11-12
163,haechan minhyung ah mark mentioned already diee,2020-11-12
165,6 48 mark holding jungwoo hand front lucas oh man chaotic love,2020-11-10
166,crazy tht love xd,2020-11-09
170,see huge triangle,2020-11-06
171,lucas sitting like watching tennis match first half getting every time,2020-11-05
177,jungwoo deeply love lucas live see,2020-11-04
178,never confused watching sun moon series,2020-11-03
179,im sensing budding romance smiley one english easy boy,2020-11-01
181,nct already 23 members jungwoo w 98 line friends neomu lonely,2020-10-31
182,mark want haechan drop hyung wanna haechan friend boyfriend instead,2020-10-31
183,stilll leavng ahhaah,2020-10-31
187,started talking age started mental breakdown lucas taeil sits watches ajgdjsgd braincells left chat,2020-10-31
189,haechan thought soulmates mark turns away coughs,2020-10-30
193,chaotic one,2020-10-28
195,haechan soulmates meanwhile mark chokes,2020-10-27
196,aint funniest ep hahahahah gosh,2020-10-27
197,get talked someone explain,2020-10-27
202,sun moon ssi literally love life bye,2020-10-27
203,bruh lucas jungwoo made debut together together long time long time lemme got cry,2020-10-27
205,please create content nct 2020 live together,2020-10-26
206,jungwoo friend,2020-10-26
210,opening gold,2020-10-26
212,know markhyuck 2017 fight,2020-10-25
213,haechan tells mark thought soulmates mark coughs also thats cute though,2020-10-25
214,haechan mark thought soulmatez 3,2020-10-25
215,lucas soo cute,2020-10-24
216,2 39 find attractive whenever jungwoo move eyebrows like okay,2020-10-24
218,someone explain care year month bor much asian cultural thing,2020-10-24
220,haechan sooooo problematic see side taeil lol gemini man,2020-10-24
222,confusest talk ever,2020-10-24
228,3 14 haechan thought soulmates mark chokes,2020-10-23
232,missed luwoo interactions good know still close apart long broooooosssss,2020-10-22
233,0 42 need time stap cuteness,2020-10-22
234,swear one funniest sun moon episodes ive watched far hahahahahaha,2020-10-22
235,2 favorite ships one markhyuck luwoo wish doyoung taeil lonely thirdwheeling jungwoo misses boyfie ps yuwin next,2020-10-22
237,meaningless talks heal day,2020-10-22
238,comfortable w oh god ಥ_ಥ,2020-10-22
239,mark keeping professional interview sun moon ssi 02 59,2020-10-22
240,jungwoo join 99line fight 00line 5v5,2020-10-22
241,summary episode 1 haechan jealous mark jungwoo chingu relationship 2 mark letting haechan drop hyung 3 taeil enjoying drama 4 lucas knowing first place 5 jungwoo preventing argument get serious actually putting end cant believe made whole episode discussing birth year issue,2020-10-22
242,really like taeil opening cutee,2020-10-22
244,think haechan wants friend friends mark got little sad knowing mark follow rules lucas jungwoo think becuase abuse mark worries haechan might,2020-10-22
245,nooooooooo luwoo heart believe first time seeing together 2 years life complete,2020-10-22
246,waiting chenji,2020-10-22
247,3 08 asked hows heart us haechan marks heart wants stay older relationship works best way seems,2020-10-22
248,2 40 even tail care much xd lmaoooo admit haechan want age mark jealous,2020-10-22
249,4 00 way voices changed really cute tho,2020-10-22
250,rewatched intro like 50 times,2020-10-21
253,taeil donghyuck duo never knew needed hilarious omg,2020-10-21
254,whole video chaotic hahahah,2020-10-21
256,argument complicated nct whole concept,2020-10-21
257,pack luwoo,2020-10-21
258,luwoo heart neomu soo happy,2020-10-21
259,feel one pointless episode series,2020-10-21
260,getting confused though english subs,2020-10-21
261,rip headphone users high volume,2020-10-21
262,complicated episode sun moon swear,2020-10-21
264,love wtf,2020-10-21
266,time like jungwoo three legs,2020-10-21
267,yeorobun watched whole seven minutes whose topic confusing lol,2020-10-21
268,feeling sad haechan guess jealous understand mark jungwoo decided drop formalities mark reactibg feel haechan much,2020-10-21
271,jungwoo simping lucas mark desperately tries talk way haechan wrath funny,2020-10-21
272,idc gonna start theory saying maybe markhyuck summer fight involved something mark refuses let dreamies drop formalities,2020-10-21
273,one literally one mark sun moon ssi,2020-10-21
274,way jungwoo got pushed upwards lucas sank sofa lmao uwu,2020-10-21
275,0 37 mind fav part,2020-10-21
276,jungwoo likes everyone point,2020-10-20
277,0 42 thank later,2020-10-20
279,haechan cranky mark,2020-10-20
280,jungwoo one made sense beginning end,2020-10-20
281,mark could become age friends taeil taeil want,2020-10-20
282,love donghyuck said mark soulmates,2020-10-20
285,lonely ones nct taeil 94 line jungwoo 98 line jisung 02 line,2020-10-20
286,nct daily channel yt,2020-10-20
288,lmaooo imagine mark become age friend dreamies,2020-10-20
